name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,last_mentioned_book,last_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept,animal_type,color,owner
Sillia Cerano,,Unknown,Female,,,,,,,TFOH,36,TFOH,47,,,,,,,,Alive,,Entertainer,,,,,,
Silene Dorelmin,,Kandori,Female,,,,,Slim,,,,,,NS,24,NS,24,,,,Alive,,Seamstress,,,,,,
Sigril,,Saldaean,Female,,,,,,,TOM,24,TOM,24,,,,,Saldaea,,,Alive,,,,,,,,
Sierin Vayu,736 NE,Unknown,Female,,,,Hard,Plump,,,,WH,10,NS,14,NS,14,,Amyrlin Seat,Aes Sedai,Dead,984 NE,,Gray Ajah,,,,,
Sibella,,Unknown,Female,,,Yellow,,Scrawny,,,,,,ACOS,38,TPOD,3,The Kin,,Elder,Alive,,,,,,,,
Shyanda,,Aiel,Female,,,Fiery Red,,,,,,,,WH,Prologue,WH,Prologue,,,,Alive,,Wise One,,Goshien,Unknown sept,,,
Shimoku,,Kandori,Female,,,,Dark,,,,,,,LOC,14,LOC,14,White Tower,,Accepted,Alive,,,,,,,,
Shimel,,Far Madding,Female,,,,,,,,,,,WH,32,WH,32,,,,Alive,,Merchant,,,,,,
Shiaine Avarhin,,Andoran,Female,,,,,,,WH,10,WH,10,,,,,,Lady,,Dead,,,,,,,,
Shevan Gadarin,843 NE,Kandori,Female,Tall,,,,Thin,,,,TOM,38,TPOD,25,TGS,46,White Tower,,Aes Sedai,Dead,1000 NE,Sitter,Brown Ajah,,,,,
Sheriam Bayanar,,Saldaean,Female,,,Fiery red,"Pale Green, slanted",Slightly plump,,,,AMOL,25,NS,6,TGS,45,Black Ajah,,Aes Sedai,Dead,1000 NE,,Blue Ajah,,,,,
Sheraine Caminelle,,Cairhienin,Female,Very short,,Dark,,Slender,,,,,,TGH,42,KOD,36,,,Aes Sedai,Alive,,,Blue Ajah,,,,,
Shendla,,Sharan,Female,,,,,,,,,,,AMOL,37,AMOL,38,Bao the Wyld,,Ayyad,Alive,,,,,,,,
Shein Chunla,,Unknown,Female,,,,,,,TWORJTWOT,,KOD,24,,,,,,Amyrlin Seat,Aes Sedai,Dead,651 NE,,Green Ajah,,,,,
Shemari,,Unknown,Female,,,,,,,,,,,COT,17,COT,17,White Tower,,Aes Sedai,Alive,,Librarian,Brown Ajah,,,,,
Shemerin,828 NE,Unknown,Female,,,,,Plump,,,,TGS,40,TSR,47,TGS,26,White Tower,,Accepted,Alive,,,Yellow Ajah,,,,,
Sharmad Zeffar,,Domani,Female,,,,,Plump,,,,,,LOC,Prologue,LOC,Prologue,Two Rivers,,,Alive,,,,,,,,
Shemaen,,Unknown,Female,,,,,,,NS,8,NS,8,,,,,,,Aes Sedai,Alive,,,Unknown Ajah,,,,,
Shanni,,Aiel,Female,,,,,,,AMOL,Prologue,AMOL,Prologue,,,,,,,,Alive,,Wise One,,Daryne,Unknown sept,,,
Shanelle,,Altaran,Female,,,,Light Blue,,,,,,,LOC,30,LOC,30,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Shanan,,Seanchan,Female,,,,,,,,,,,AMOL,Epilogue,AMOL,Epilogue,,,,Alive,,,,,,,,
Shanal,,Unknown,Female,,,,,,,,,,,TGS,40,TGS,40,White Tower,,Novice,Alive,,,,,,,,
Shana Goridien,882 NE,Unknown,Female,,,,Bulging,,,,,,,LOC,40,COT,19,White Tower,,Aes Sedai,Alive,,,White Ajah,,,,,
Shalon din Togara Morning Tide,,Unknown,Female,,,,,,,,,,,ACOS,34,KOD,22,,,Windfinder,Alive,,,,,,,,
Sevlana Meseau,,Unknown,Female,,,,,,,ACOS,19,,,,,,,White Tower,,Aes Sedai,Dead,,,Gray Ajah,,,,,
Ryne Venamar,948 NE,Malkieri,Male,Tall,,Braided with bells,,,,,,,,NS,16,NS,26,Darkfriend,,,Dead,979 NE,,,,,,,
Sevanna,,Aiel,Female,,,Golden,Green,,,TSR,49,TOM,29,TSR,57,KOD,30,Aiel,,Roofmistress,Alive,,,,Shaido,Jumai,,,
Setsuko,,Arafellin,Female,Short,,,Pale,Stocky,,,,,,NS,6,NS,6,White Tower,,Novice,Alive,,,,,,,,
Setalle Anan,902 NE,Borderlander,Female,,,Graying,Hazel,,,,,,,LOC,47,AMOL,34,,,,Alive,,Innkeeper,,,,,,
Seta Zarbey,,Seanchan,Female,Short,,Yellow,Blue,,,,,,,TGH,45,TOM,17,,,,Alive,,,,,,,,
Serrisa,,Seanchan,Female,,,,,,,,,COT,1,TGH,29,TGH,29,Egeanin Tamarath,,,Alive,,,,,,,,
Serinia,,Unknown,Female,,,,,,,,,,,AMOL,1,AMOL,1,White Tower,,,Alive,,,Unknown Ajah,,,,,
Serile,,Unknown,Female,,Average,,,,,,,,,KOD,22,KOD,22,,,Windfinder,Alive,,,,,,,,
Ryn Anhara,,Unknown,Male,,,,,,,WH,Prologue,WH,Prologue,,,,,School of Cairhien,,,Alive,,Inventor,,,,,,
Ryden,,Borderlander,Male,,,,,,,,,,,AMOL,Prologue,AMOL,Prologue,Band of the Red Hand,,,Alive,,Soldier,,,,,,
Ruthan,,Saldaean,Male,,,,Hard,,,,,,,KOD,20,KOD,20,Weilin Aldragoran,,,Alive,,Clerk,,,,,,
Rumann,,Unknown,Male,,,,,,,,,,,COT,2,COT,2,Valan Luca,,,Alive,,Entertainer,,,,,,
Rulan Allwine,,Andoran,Male,,,,,Stout,,,,,,TEOTW,33,TEOTW,33,,,,Alive,,Innkeeper,,,,,,
Rowan Hurn,,Andoran,Male,,,,,,,,,,,TEOTW,2,TOM,34,Perrin Aybara,Village Councilor,,Alive,,,,,,,,
Rowahn,,Aiel,Male,Tall,,,,,,TOM,48,,,,,,,,,,Unknown,,Unknown occupation,,Unknown clan,Unknown sept,,,
Rovair Kirklin,,Unknown,Male,,,Dark,,Compact,,,,,,TPOD,10,KOD,30,The Dragon Reborn,,,Alive,,Warder,,,,,,
Seri,982 NE,Seanchan,Female,,,,,,,,,,,TFOH,32,TFOH,32,,,,Alive,,,,,,,,
Sergase Gilbearn,,Andoran,Female,Small,,"Dark, touches of white",,Slim,,LOC,28,KOD,32,KOD,17,,,House Trakand,Lady,,Alive,,,,,,,,
Serenia Latar,,Unknown,Female,,,,,,,LOC,31,,,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,306 NE,,Gray Ajah,,,,,
Sereine dar Shamelle Motara,,Jaramide,Female,,,,,,,TSR,1,TSR,1,,,,,,,,Dead,,,,,,,,
Sereille Bagand,586 NE,Far Madding,Female,,,,,,,ACOS,32,COT,18,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,890 NE,,White Ajah,,,,,
Serancha Colvine,835 NE,Unknown,Female,,,Light brown,Pale blue,,,ACOS,32,,,KOD,24,TGS,43,White Tower,Head Clerk,Aes Sedai,Alive,,,Gray Ajah,,,,,
Rysael din Yulan,,Unknown,Female,,,,,,,,,,,TPOD,5,KOD,33,,,Windfinder,Alive,,,,,,,,
Rovair,,Tairen,Male,,,,,Stout,,,,,,ACOS,35,ACOS,35,Darlin Sisnera,Lord,,Alive,,,,,,,,
Rossin,,Domani,Male,,,,,,,TOM,32,TOM,32,,,,,Dragon Reborn,,,Dead,1000 NE,,,,,,,
Rosse,,Andoran,Male,,,,,,,,,,,AMOL,Prologue,AMOL,Prologue,,,,,,Soldier,,,,,,
Ross Anan,,Altaran,Male,,,,,,,,,WH,29,WH,19,WH,29,,,,Alive,,Sailor,,,,,,
Roshan,,Unknown,Male,,,,,,,ACOS,36,COT,Prologue,,,,,White Tower,,,Alive,,Warder,,,,,,
Rorik,,Unknown,Male,,,,,,,,,,,TGS,26,TGS,26,White Tower,,,Alive,,Warder,,,,,,
Ronja,,Aiel,Male,,,,,,,,,,,AMOL,37,AMOL,37,,,,Alive,,,,,,,,
Serailla,,Kandori,Female,,,,Dark,,,,,,,TPOD,Prologue,TPOD,Prologue,Kandor,First Councilor,Lady,Alive,,,,,,,,
Serafelle Tanisloe,,Murandian,Female,,,,,,,NS,6,,,TGH,4,TDR,18,Elaida a'Roihan's White Tower,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Sera,,Seanchan,Female,,,"Curly, dark",,,,,,,,WH,14,WH,14,,,,Alive,,,,,,,,
Sephanie Pelden,,Andoran,Female,,,,,Stocky,,,,,,COT,12,KOD,35,Elayne Trakand,,,Alive,,Maid,,,,,,
Seonid Traighan,928 NE,Cairhienin,Female,Short,,Dark,,,,LOC,41,,,LOC,43,TOM,26,Perrin Aybara,,Aes Sedai,Alive,,,Green Ajah,,,,,
Senine din Ryal,,Unknown,Female,,,Graying,,,,,,,,TPOD,2,KOD,33,,,Windfinder,Alive,,,,,,,,
Sendara,,Aiel,Female,,,,,,,KOD,18,,,,,,,,,,Dead,,,,Taardad,Iron Mountain,,,
Semirhage,Age of Legends,Unknown,Female,Unusually tall,,"Short, wavy","Dark, large",Slender,,TFOH,3,AMOL,22,LOC,Prologue,TGS,22,,,Chosen,Dead,1000 NE,,,,,,,
Selucia,,Seanchan,Female,Average,,Gold,Blue,,,,,,,WH,14,AMOL,24,,,,Alive,,,,,,,,
Ryma Galfrey,902 NE,Unknown,Female,,,Dark,Blue,Slim,,NS,6,,,NS,11,WH,28,Seanchan,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Rubinde Acedone,853 NE,Mayener,Female,,,Very dark,"Blue, like sapphires",Sturdy,,,,,,TPOD,25,AMOL,Epilogue,White Tower,,Aes Sedai,Alive,,Sitter,Green Ajah,,,,,
Rosil,,Unknown,Female,,,,,"Slender, lanky",,,,,,TOM,20,AMOL,37,White Tower,Mistress of Novices,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Rosene,,Mayener,Female,,,,,,,,,,,WH,5,COT,7,,,,Alive,,Maid,,,,,,
Rosel of Essam,,Essam,Female,,,,,,,TDR,21,TDR,21,,,,,,,,Dead,,Author,,,,,,
Rosara Medrano,,Tairen,Female,Tall,,Black,,,,,,,,COT,Prologue,COT,Prologue,Unaligned sisters,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Rosana,,Tairen,Female,,,,Blue,Lean,,,,,,TPOD,13,TPOD,21,The Dragon Reborn,High Lady of Tear,,Alive,,,,,,,,
Rosala,,Seanchan,Female,,,,,,,KOD,Prologue,KOD,Prologue,,,,,,,,Alive,,Servant,,,,,,
Roon,,Ghealdanin,Female,,,,,,,TDR,8,TDR,8,,,,,,Wisdom,,Alive,,Healer,,,,,,
Ronelle,,Unknown,Female,,,,,,,,,,,LOC,14,LOC,14,White Tower,,Accepted,Alive,,,,,,,,
Ronan,,Shienaran,Male,,,White,,,,,,,,TGH,2,TGH,2,Agelmar Jagad,,,Dead,TGH 6,,,,,,,
Ronam,,Aiel,Male,Tall,,,,,,TOM,49,,,,,,,,,,Unknown,,Clan chief,,Taardad,Unknown sept,,,
Roidan,,Aiel,Male,,,Gray,Icy blue,,,,,,,TFOH,41,LOC,4,,,,Alive,,,,Nakai,Salt Flat,,,
Rogosh,,Talmouri,Male,,,White,Sharp,,,,,TFOH,24,TGH,47,TGH,47,Horn of Valere,,Hero of the Horn,Bound to the Wheel,,,,,,,,
Roedran Almaric do Arreloa a'Naloy,,Murandian,Male,,,"White, thinning",,Corpulent,,TFOH,11,,,AMOL,5,AMOL,6,Murandy,King of Murandy,King,Alive,,,,,,,,
Roidelle,,Unknown,Male,,,Graying,,Bulky,,,,TGS,34,KOD,26,TGS,27,Band of the Red Hand,,,Alive,,Mapmaker,,,,,,
Rodrivar Tihera,,Tairen,Male,,,"Graying, curly",Black,Lean,,,,,,TPOD,21,AMOL,20,The Dragon Reborn,,Captain,Alive,,,,,,,,
Rodic,,Unknown,Male,,,,,,,,,,,TGS,4,TGS,4,Younglings,,,Alive,,,,,,,,
Rolan,,Aiel,Male,Tall,,,Blue,,,,,TOM,29,TPOD,30,KOD,30,Sevanna,,,Dead,1000 NE,,,Unknown clan,Unknown sept,,,
Selande Darengil,,Cairhienin,Female,Short,,"Dark, long",,,,,,,,TFOH,51,TOM,30,Cha Faile,,,Alive,,,,,,,,
Selame,,Tairen,Female,,,,,,,ACOS,8,,,ACOS,10,,,,,,Dead,1000 NE,Maid,,,,,,
Sela,,Andoran,Female,,,,,,,TFOH,1,TFOH,1,,,,,House Bryne,,,Alive,,,,,,,,
Segan do Avharin a'Roos,,Murandian,Female,Tall,,"Long, Dark",Dark,Slender,,,,,,TPOD,17,TPOD,18,,Lady,,Alive,,,,,,,,
Sefela,,Aiel,Female,,,,,,,,,,,TSR,12,TSR,12,,,,Alive,,,,Unknown clan,Unknown sept,,,
Seana,,Aiel,Female,,,"Dark, Gray-streaked",Blue-Gray,,,TDR,39,,,TSR,23,,,,,,Dead,999 NE,Wise One,,Nakai,Black Cliffs,,,
Sedore Dajenna,813 NE,Tairen,Female,,,Dark,Dark,,,,,,,TPOD,25,TOM,37,Black Ajah,,Aes Sedai,Dead,1000 NE,Sitter,Yellow Ajah,,,,,
Ronde Macura,,Amadician,Female,,,Dark,,,,,,KOD,31,TFOH,9,WH,14,Seanchan,,,Alive,,Seamstress,,,,,,
Ronaille Vevanios,,Illianer,Female,,,,,,,,,KOD,Prologue,LOC,55,LOC,55,The Dragon Reborn,,Aes Sedai,Alive,,,White Ajah,,,,,
Romanda Cassin,726 NE,Far Madding,Female,,,Gray,Dark,,,,,,,LOC,15,AMOL,20,White Tower,First Weaver,Aes Sedai,Dead,1000 NE,Sitter,Yellow Ajah,,,,,
Rodera,,Aiel,Female,,,,,,,,,,,LOC,24,LOC,25,,,,Alive,,,,Shaido,Unknown sept,,,
Riselle,,Altaran,Female,,,,,,,,,,,ACOS,29,WH,30,,,,Alive,,Maid,,,,,,
Rina Hafden,923 NE,Amadician,Female,,,,,Stocky,,,,,,NS,7,TOM,27,White Tower,,Aes Sedai,Alive,,Sitter,Green Ajah,,,,,
Rilith,,Ghealdanin,Female,,,,,,,TDR,8,TDR,8,,,,,,,,Alive,,,,,,,,
Rianna Andomeran,,Kandori,Female,,,"Black, streak of white",,,,TDR,25,AMOL,42,TDR,51,AMOL,42,Black Ajah,,Aes Sedai,Alive,,Dreadlord,White Ajah,,,,,
Robb Solter,,Andoran,Male,,,,,,,,,,,TOM,26,TOM,26,Perrin Aybara,,,Alive,,,,,,,,
Rodel Ituralde,,Domani,Male,Short,,,,,,TFOH,27,,,COT,Prologue,AMOL,Epilogue,Arad Doman,Five Great Captains,King,Alive,,,,,,,,
Rinnin,,Shienaran,Male,,,,,,,,,,,TGS,Prologue,TGS,Prologue,,,,Alive,,Farmer,,,,,,
Ries Gorthanes,,Cairhienin,Male,Taller then most Cairhienin,,,,Broad Shoulders,,NS,13,NS,24,NS,14,NS,14,,,,Alive,,,,,,,,
Riddem,,Unknown,Male,,,,,,,,,,,TOM,9,TOM,9,Band of the Red Hand,,,Dead,1000 NE,Soldier,,,,,,
Rhys a'Balaman,,Murandian,Male,,,,Stones,,,,,KOD,35,KOD,13,KOD,13,House Marne,,,Dead,1000 NE,Mercenary,,,,,,
Rhuarc,,Aiel,Male,Tall,,"Dark red, graying",,Muscular,,,,AMOL,Epilogue,TDR,39,AMOL,42,,,,Deceased,,Clan chief,,Taardad,,,,
Rhodric,,Aiel,Male,,,,,,,,,,,TSR,25,,,,,,Dead,,,,Aiel,,,,
Sealdre,,Aiel,Female,,,Golden,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Aiel,,,,
Seaine Herimon,841NE,Murandian,Female,,,"Black, thick",Watery blue,,,ACOS,8,,,ACOS,32,AMOL,21,White Tower,,Aes Sedai,Alive,,Sitter,White Ajah,,,,,
Savion Amhara,,Far Madding,Female,,,,,,,WH,22,WH,22,,,,,Far Madding,,First Counsel,Dead,,,,,,,,
Savara,,Seanchan,Female,,,,,,,,,,,AMOL,24,AMOL,24,,,,Alive,,,,,,,,
Satina,,Unknown,Female,,,,,,,LOC,14,LOC,14,LOC,14,LOC,14,Rebel Aes Sedai,,,Alive,,Servant,,,,,,
Sashalle Anderly,816 NE,Unknown,Female,,,Curly,Blue,,,WH,14,,,COT,Prologue,AMOL,42,The Dragon Reborn,,Aes Sedai,Alive,,,Red Ajah,,,,,
Saroiya Farseen,857 NE,Domani,Female,,,,,Blocky,,TFOH,26,,,TPOD,16,TOM,27,White Tower,,Aes Sedai,Alive,,Sitter,White Ajah,,,,,
Sarinde,,Aiel,Female,,,,,,,ACOS,18,,,AMOL,6,AMOL,6,,,,Alive,,Wise One,,Codarra,Unknown sept,,,
Sari Ayellin,,Andoran,Female,,,,,,,TEOTW,16,TEOTW,16,,,,,Two Rivers,,,Alive,,,,,,,,
Sarene Nemdahl,955 NE,Taraboner,Female,,,"Dark, In beaded braids",,,,,,AMOL,42,NS,4,AMOL,34,White Tower,,Aes Sedai,Unknown,,,White Ajah,,,,,
Riallin,,Aiel,Female,,,Yellow-red,,A little plump,,,,,,ACOS,18,TGS,29,,,,Alive,,,,Unknown clan,Unknown sept,,,
Rhiannon,,Unknown,Female,,,,,,,ACOS,24,,,,,,,,,Queen,Dead,,,,,,,,
Rhian,,Aiel,Female,,,Red,,,,,,,,TGH,35,TGH,35,,,,Alive,,,,Unknown clan,Unknown sept,,,
Rhiale,,Aiel,Female,,,Flame,,,,,,,,ACOS,Prologue,KOD,5,Sevanna,,,Alive,,Wise One,,Shaido,Unknown sept,,,
Rhea Avin,,Andoran,Female,,,"Dark, waist-length braid",,,,,,,,LOC,Prologue,LOC,Prologue,Two Rivers,,,Alive,,,,,,,,
Resara,,Domani,Female,,,,,,,TFOH,1,TFOH,1,,,,,,,,Unknown,,Merchant,,,,,,
Renna Emain,,Seanchan,Female,Short,,"Long, brown","Big, brown",,,,,AMOL,26,TGH,40,COT,29,,,,Dead,1000 NE,,,,,,,
Rendra,,Taraboner,Female,,,Honey-colored,Brown,,,,,,,TSR,39,TSR,55,Tarabon,,,Alive,,Innkeeper,,,,,,
Rhadam Asunawa,,Unknown,Male,,,Gray,"Deep-set, Dark",Gaunt,,LOC,9,,,LOC,31,TOM,2,Hand of the Light,,High Inquisitor,Dead,1000 NE,Inquisitor,,,,,,
Reimon,,Tairen,Male,,,Dark,,Broad,,,,KOD,27,TSR,2,KOD,26,Band of the Red Hand,Lord,Banner-General,Alive,,Soldier,,,,,,
Reed Soalen,,Andoran,Male,,,,,,,,,,,TOM,2,AMOL,1,Perrin Aybara,,,Alive,,Soldier,,,,,,
Renald Fanwar,,Borderlander,Male,,,,,,,,,,,TGS,Prologue,TGS,Prologue,Dragonsworn,,,Alive,,Farmer,,,,,,
Sarena,,Altaran,Female,,Stocky,,,,,,,,,LOC,8,LOC,8,,Lady,Noblewoman,Alive,,,,,,,,
Redbord,,Domani,Male,,,,,,,,,,,TOM,25,TOM,25,Rand al'Thor,,lieutenant,Alive,,Soldier,,,,,,
Ren Chandin,,Andoran,Male,,,,,,,TSR,40,TSR,40,,,,,Two Rivers,,,Dead,999 NE,,,,,,,
Renald Macer,,Unknown,Male,,,Bald,,Stout,,,,,,TOM,22,TOM,22,Queen's Guard,,Sergeant,Alive,,Soldier,,,,,,
Rett,,Domani,Male,,,,,,,TOM,21,TOM,21,,,,,Dragon Reborn,,,Dead,1000 NE,Soldier,,,,,,
Reo Myershi,,Unknown,Male,,,,,,,TOM,51,TOM,51,,,,,,,,Dead,,,,,,,,
Sareitha Tomares,965 NE,Tairen,Female,,,Dark,Brown,,,,,TOM,17,ACOS,16,KOD,31,Rebel Aes Sedai,,Aes Sedai,Dead,1000 NE,,Brown Ajah,,,,,
Sarasia,,Unknown,Female,,,,,Plump,,,,,,TOM,52,TOM,52,The Kin,,,Alive,,,,,,,,
Sarainya Vostovan,924 NE,Arafellin,Female,,,,,,,,,,,ACOS,24,TPOD,28,The Kin,,,Alive,,,,,,,,
Saralin,,Aiel,Female,,,,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Da'shain Aiel,,,,
Sara,,Andoran,Female,,,,,,,,,,,TEOTW,15,TEOTW,15,,,,Alive,,Cook,,,,,,
Sanetre,,Unknown,Female,,,,,,,,,,,KOD,32,KOD,32,Queen's Guard,,,Alive,,Soldier,,,,,,
Renala Merlon,,Unknown,Female,,,,,,,TGS,16,,,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,,,,
Renaile din Calon Blue Star,,Unknown,Female,,,"Dark, with wings of white",,,,,,,,ACOS,39,TOM,36,,,Windfinder,Alive,,,,,,,,
Reiko Kerevon,827 NE,Arafellin,Female,,,"Long, Dark",,Stout,,,,,,COT,19,COT,19,White Tower,,Aes Sedai,Alive,,,Blue Ajah,,,,,
Reene Harfor,,Andoran,Female,,,Graying,,Slightly Plump,,,,,,LOC,10,KOD,35,House Trakand,,,Unknown,,First Maid,,,,,,
Reanne Corly,588 NE,Unknown,Female,,,Gray,Blue,,,ACOS,22,KOD,17,ACOS,23,KOD,14,The Kin,Eldest,Elder,Dead,1000 NE,,,,,,,
Reale,,Cairhienin,Female,,,,,,,,,,,ACOS,5,ACOS,5,Colavaere Saighan,,,Alive,,Maid,,,,,,
Ravashi,,Seanchan,Female,,,,,,,KOD,11,,,,,,,,,,Dead,1000 NE,,,,,,,
Rasoria Domanche,,Tairen,Female,,,Yellow,Blue,Stocky,,,,,,WH,26,COT,14,Queen's Guard,,,Alive,,Soldier,,,,,,
Rashan,,Unknown,Male,,,,,,,LOC,52,COT,23,,,,,Elaida a'Roihan's White Tower,,,Alive,,Warder,,,,,,
Raolin Darksbane,,Essenian,Male,,,,,,,TEOTW,14,LOC,54,,,,,,False Dragon,,Dead,335 AB,,,,,,,
Ranun Sinah,,Unknown,Male,,,,,,,,,,,TOM,43,TOM,43,Children of the Light,,,Dead,1000 NE,Soldier,,,,,,
Rand al'Thor,978 NE,Andoran,Male,"1 span, 1 foot, 7 inches",23 1/2 stone,Dark red,Gray-blue,Muscular,,NS,2,,,TEOTW,Ravens,AMOL,Epilogue,,"Dragon Reborn,",King,Alive,,,,,,,,
Ramsin Almadar,,Domani,Male,,,,,,,LOC,6,LOC,6,LOC,6,LOC,6,,Lord,Prince,Dead,1000 NE,,,,,,,
Ramey,,Andoran,Male,,,,,,,,,,,TEOTW,44,TDR,45,,,,Alive,,Stableman,,,,,,
Rakim,,Saldaean,Male,,,,,Grizzled,,,,TOM,42,NS,1,TOM,7,Lan Mandragoran,,,Alive,,Soldier,,,,,,
Rajar,,Domani,Male,Short,,,,Slight,,LOC,55,,,COT,Prologue,TGS,13,Younglings,,First-Lieutenant,Alive,,Soldier,,,,,,
Tzigan Sokorin,,Ghealdanin,Female,,,,Cold,,,,,,,WH,7,KOD,33,Queen's Guard,,Under-Lieutenant,Alive,,Soldier,,,,,,
Tylin Quintara Mitsobar,,Altaran,Female,Nynaeve,,Long glossy black,Large dark,,,LOC,7,AMOL,17,LOC,48,WH,31,,Mistress of the Four Winds,Queen,Dead,1000 NE,,,,,,,
Tylee Khirgan,,Seanchan,Female,Tall,,"Black, graying at temples, close-cut, curly",,Lean,,KOD,Prologue,,,KOD,4,AMOL,37,Ever Victorious Army,,Lieutenant-General,Alive,,Soldier,,,,,,
Tuva,,Domani,Female,,,,,,,TPOD,12,,,,,,,,,,Dead,1000 NE,,,,,,,
Turese,,Unknown,Female,,,,,,,,,,,TGS,39,TGS,39,White Tower,,Aes Sedai,Alive,,,Red Ajah,,,,,
Tymoth,,Unknown,Male,,,Red,,,,TOM,21,,,TOM,28,TOM,28,Rand al'Thor,,Asha'man,Alive,,Asha'man,,,,,,
Turol,,Aiel,Male,,,,,,,TFOH,53,TFOH,53,,,,,,,,Alive,,,,Unknown clan,Unknown sept,,,
Turne,,Ghealdanin,Male,,,"Red, Currly",,Lanky,,,,,,TOM,2,TOM,2,Perrin Aybara,,,Alive,,Mercenary,,,,,,
Turan,,Seanchan,Male,Short,,"Close-cropped, black",,Stout,,KOD,Prologue,,,TGS,6,,,,,Lieutenant-General,Dead,1000 NE,,,,,,,
Turak Aladon,,Seanchan,Male,Tall,,Shaved,Dark,,,,,TGS,35,TGH,29,TGH,45,,,High Lord,Dead,998 NE,,,,,,,
Samitsu Tamagowa,856 NE,Arafellin,Female,,,Dark,Hazel,,,,,,,ACOS,36,TOM,52,Unaligned sisters,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Sammana,,Aiel,Female,,,,,,,TOM,38,TOM,38,,,,,,,,Dead,,Wise One,,Unknown clan,Unknown sept,,,
Samalin Naeroda,935 NE,Murandian,Female,Tall,,,,,,,,,,LOC,35,KOD,23,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Salya,,Unknown,Female,,,,,,,TEOTW,4,,,,,,,,,,Fictional character,,,,,,,,
Salita Toranes,,Tairen,Female,,,Dark,Cool,Plump,,,,,,LOC,30,KOD,23,White Tower,,Aes Sedai,Alive,,Sitter,Yellow Ajah,,,,,
Salia Pomfrey,,Andoran,Female,,,,,,,NS,6,NS,6,,,,,,,,Alive,,,,,,,,
Sahra Covenry,984 NE,Unknown,Female,,,Black,,,,,,TSR,47,TSR,1,TSR,17,White Tower,,Novice,Dead,999 NE,,,,,,,
Saerin Asnobar,781 NE,Altaran,Female,,,"Dark, Graying",,,,,,,,TPOD,26,AMOL,Epilogue,White Tower,,Aes Sedai,Alive,,Sitter,Brown Ajah,,,,,
Sabeine Ocalin,,Unknown,Female,,,,,,,COT,14,COT,14,,,,,The Kin,,,Alive,,,,,,,,
Rashima Kerenmosa,1150 AB,Unknown,Female,,,,,,,LOC,49,,,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,1301 AB,,Green Ajah,,,,,
Rana,,Andoran,Female,,,,,,,LOC,Prologue,,,,,,,,,,Alive,,Seamstress,,,,,,
Ramola,,Unknown,Female,,,,,,,,,,,TOM,38,TOM,38,Black Ajah,,Aes Sedai,Alive,,,Unknown Ajah,,,,,
Ramesa,,Arafellin,Female,Tall,,,,Slender,,,,,,KOD,Prologue,KOD,Prologue,White Tower,,Aes Sedai,Alive,,,White Ajah,,,,,
Rainyn din Burun,,Unknown,Female,,,,,,,,,,,TPOD,2,KOD,33,,,Windfinder,Alive,,,,,,,,
Rahvin's Pet Aes Sedai,,Unknown,Female,,,,Brown,,,,,LOC,1,TFOH,Prologue,TFOH,Prologue,White Tower,,Aes Sedai,Alive,,,Red Ajah,,,,,
Rahema Arnon,,Altaran,Female,,,,Haggard,,,,,,,COT,26,COT,26,,,,Alive,,Merchant,,,,,,
Rafela Cindal,948 NE,Tairen,Female,,,Dark,,Plump,,,,AMOL,40,NS,11,KOD,21,White Tower,,Aes Sedai,Alive,,,Blue Ajah,,,,,
Raemassa,,Unknown,Female,,,,,,,,,,,AMOL,20,AMOL,20,,,Aes Sedai,Alive,,,Unknown Ajah,,,,,
Raechin Connoral,,Unknown,Female,Tall,,Dark,,,,,,,,TOM,27,AMOL,37,White Tower,,Aes Sedai,Alive,,Sitter,Red Ajah,,,,,
Radhanan,,Seanchan,Female,,,,,,,TGH,29,,,,,,,,Empress of Seanchan,Empress,Dead,1000 NE,,,,,,,
Racelle Arovni,,Kandori,Female,Tall,,Graying,Dark,,,,,,,NS,16,NS,16,,,,Alive,,Innkeeper,,,,,,
Rajabi,,Domani,Male,,,Bald,Brown,Boulder-like,,,,TOM,32,COT,Prologue,TOM,18,Dragon Reborn,,,Dead,1000 NE,,,,,,,
Raimun Holdwin,,Andoran,Male,,,,,,,,,TEOTW,35,TEOTW,34,TEOTW,34,Darkfriend,,,Alive,,Innkeeper,,,,,,
